timestamp,price_btc,hashrate_btc,date
2018-01-01 00:00:00+00:00,10221.099609375,15177350.2495293,2018-01-01
2018-01-02 00:00:00+00:00,10221.099609375,15177350.2495293,2018-01-02
2018-01-03 00:00:00+00:00,10221.099609375,15177350.2495293,2018-01-03
2018-01-04 00:00:00+00:00,10221.099609375,16127548.7258182,2018-01-04
2018-01-05 00:00:00+00:00,10221.099609375,16127548.7258182,2018-01-05
2018-01-06 00:00:00+00:00,10221.099609375,16127548.7258182,2018-01-06
2018-01-07 00:00:00+00:00,10221.099609375,16127548.7258182,2018-01-07
2018-01-08 00:00:00+00:00,10221.099609375,15935554.0981299,2018-01-08
2018-01-09 00:00:00+00:00,10221.099609375,15935554.0981299,2018-01-09
2018-01-10 00:00:00+00:00,10221.099609375,15935554.0981299,2018-01-10
2018-01-11 00:00:00+00:00,10221.099609375,15935554.0981299,2018-01-11
2018-01-12 00:00:00+00:00,10221.099609375,17087521.8642597,2018-01-12
2018-01-13 00:00:00+00:00,10221.099609375,17087521.8642597,2018-01-13
2018-01-14 00:00:00+00:00,10221.099609375,17087521.8642597,2018-01-14
2018-01-15 00:00:00+00:00,10221.099609375,17087521.8642597,2018-01-15
2018-01-16 00:00:00+00:00,10221.099609375,17608758.1817911,2018-01-16
2018-01-17 00:00:00+00:00,10221.099609375,17608758.1817911,2018-01-17
2018-01-18 00:00:00+00:00,10221.099609375,17608758.1817911,2018-01-18
2018-01-19 00:00:00+00:00,10221.099609375,17608758.1817911,2018-01-19
2018-01-20 00:00:00+00:00,10221.099609375,19712949.4110618,2018-01-20
2018-01-21 00:00:00+00:00,10221.099609375,19712949.4110618,2018-01-21
2018-01-22 00:00:00+00:00,10221.099609375,19712949.4110618,2018-01-22
2018-01-23 00:00:00+00:00,10221.099609375,19712949.4110618,2018-01-23
2018-01-24 00:00:00+00:00,10221.099609375,19491455.5974543,2018-01-24
2018-01-25 00:00:00+00:00,10221.099609375,19491455.5974543,2018-01-25
2018-01-26 00:00:00+00:00,10221.099609375,19491455.5974543,2018-01-26
2018-01-27 00:00:00+00:00,10221.099609375,19491455.5974543,2018-01-27
2018-01-28 00:00:00+00:00,10221.099609375,20445148.5647756,2018-01-28
2018-01-29 00:00:00+00:00,10221.099609375,20445148.5647756,2018-01-29
2018-01-30 00:00:00+00:00,10221.099609375,20445148.5647756,2018-01-30
2018-01-31 00:00:00+00:00,10221.099609375,20445148.5647756,2018-01-31
2018-02-01 00:00:00+00:00,10397.900390625,20703947.9136968,2018-02-01
2018-02-02 00:00:00+00:00,10397.900390625,20703947.9136968,2018-02-02
2018-02-03 00:00:00+00:00,10397.900390625,20703947.9136968,2018-02-03
2018-02-04 00:00:00+00:00,10397.900390625,20703947.9136968,2018-02-04
2018-02-05 00:00:00+00:00,10397.900390625,23938939.775212,2018-02-05
2018-02-06 00:00:00+00:00,10397.900390625,23938939.775212,2018-02-06
2018-02-07 00:00:00+00:00,10397.900390625,23938939.775212,2018-02-07
2018-02-08 00:00:00+00:00,10397.900390625,23938939.775212,2018-02-08
2018-02-09 00:00:00+00:00,10397.900390625,19291612.224166,2018-02-09
2018-02-10 00:00:00+00:00,10397.900390625,19291612.224166,2018-02-10
2018-02-11 00:00:00+00:00,10397.900390625,19291612.224166,2018-02-11
2018-02-12 00:00:00+00:00,10397.900390625,19291612.224166,2018-02-12
2018-02-13 00:00:00+00:00,10397.900390625,23435736.3315795,2018-02-13
2018-02-14 00:00:00+00:00,10397.900390625,23435736.3315795,2018-02-14
2018-02-15 00:00:00+00:00,10397.900390625,23435736.3315795,2018-02-15
2018-02-16 00:00:00+00:00,10397.900390625,23435736.3315795,2018-02-16
2018-02-17 00:00:00+00:00,10397.900390625,21292223.8622277,2018-02-17
2018-02-18 00:00:00+00:00,10397.900390625,21292223.8622277,2018-02-18
2018-02-19 00:00:00+00:00,10397.900390625,21292223.8622277,2018-02-19
2018-02-20 00:00:00+00:00,10397.900390625,21292223.8622277,2018-02-20
2018-02-21 00:00:00+00:00,10397.900390625,25265138.8267172,2018-02-21
2018-02-22 00:00:00+00:00,10397.900390625,25265138.8267172,2018-02-22
2018-02-23 00:00:00+00:00,10397.900390625,25265138.8267172,2018-02-23
2018-02-24 00:00:00+00:00,10397.900390625,25265138.8267172,2018-02-24
2018-02-25 00:00:00+00:00,10397.900390625,25564134.5524772,2018-02-25
2018-02-26 00:00:00+00:00,10397.900390625,25564134.5524772,2018-02-26
2018-02-27 00:00:00+00:00,10397.900390625,25564134.5524772,2018-02-27
2018-02-28 00:00:00+00:00,10397.900390625,25564134.5524772,2018-02-28
2018-03-01 00:00:00+00:00,6973.52978515625,24667147.3751973,2018-03-01
2018-03-02 00:00:00+00:00,6973.52978515625,24667147.3751973,2018-03-02
2018-03-03 00:00:00+00:00,6973.52978515625,24667147.3751973,2018-03-03
2018-03-04 00:00:00+00:00,6973.52978515625,24667147.3751973,2018-03-04
2018-03-05 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-05
2018-03-06 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-06
2018-03-07 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-07
2018-03-08 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-08
2018-03-09 00:00:00+00:00,6973.52978515625,23882228.9980992,2018-03-09
2018-03-10 00:00:00+00:00,6973.52978515625,23882228.9980992,2018-03-10
2018-03-11 00:00:00+00:00,6973.52978515625,23882228.9980992,2018-03-11
2018-03-12 00:00:00+00:00,6973.52978515625,23882228.9980992,2018-03-12
2018-03-13 00:00:00+00:00,6973.52978515625,25845151.9294498,2018-03-13
2018-03-14 00:00:00+00:00,6973.52978515625,25845151.9294498,2018-03-14
2018-03-15 00:00:00+00:00,6973.52978515625,25845151.9294498,2018-03-15
2018-03-16 00:00:00+00:00,6973.52978515625,25845151.9294498,2018-03-16
2018-03-17 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-17
2018-03-18 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-18
2018-03-19 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-19
2018-03-20 00:00:00+00:00,6973.52978515625,24372959.7309369,2018-03-20
2018-03-21 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-21
2018-03-22 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-22
2018-03-23 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-23
2018-03-24 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-24
2018-03-25 00:00:00+00:00,6973.52978515625,23236728.6424672,2018-03-25
2018-03-26 00:00:00+00:00,6973.52978515625,23236728.6424672,2018-03-26
2018-03-27 00:00:00+00:00,6973.52978515625,23236728.6424672,2018-03-27
2018-03-28 00:00:00+00:00,6973.52978515625,23236728.6424672,2018-03-28
2018-03-29 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-29
2018-03-30 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-30
2018-03-31 00:00:00+00:00,6973.52978515625,26162835.2122593,2018-03-31
